T,SU,EX,I0,I1,I2,I3,RE,ED
56,0.9888366783078153,0.0011311156067008309,0.0031740645694210657,0.0018284638228273575,2.489705581783771E-4,4.609122196294971E-5,0.001925932807167568,2.916644260826767E-7
57,0.9874811885115107,0.0013060479623892333,0.003668044775967376,0.002114392350703417,2.880240042995258E-4,5.333724784524846E-5,0.002228439349704077,3.377556480456264E-7
58,0.9859243638229414,0.0015074506291436842,0.004237799847961207,0.00244462896872132,3.331680120390395E-4,6.17182660654527E-5,0.002578192311762111,3.9109289589087485E-7
59,0.9841359318103023,0.0017391357944477963,0.004894589678355605,0.002825907716410785,3.8534108173969757E-4,7.141078963216636E-5,0.0029824939466356996,4.528111619563276E-7
60,0.9820813249194041,0.0020054000943077067,0.005651226130050556,0.003265942288515452,4.4562259071812373E-4,8.261836851112164E-5,0.0034497499652475557,5.242219515884939E-7
61,0.9797211567514316,0.002311064101726606,0.006522245954838358,0.003773553853741676,5.152526928286359E-4,9.55755940213708E-5,0.003989627935996655,6.068403200996155E-7
62,0.9770106638643626,0.0026615068292313825,0.007524088490508387,0.004358810501629268,5.956546064438426E-4,1.1055265034275725E-4,0.004613235623131179,7.024159141209863E-7
63,0.9738991220195711,0.003062691311598361,0.00867527219103528,0.005033177505390407,6.884594289926576E-4,1.2786047215198248E-4,0.005333320809418193,8.129685644637435E-7
64,0.9703292510903972,0.00352117597307291,0.009996561304286803,0.005809676687251531,7.955335647982249E-4,1.4785656808065126E-4,0.006164493904521603,9.408290366157261E-7
65,0.9662366298167082,0.0040441048111345135,0.011511110459450436,0.0067030519298169906,9.190087725442224E-4,1.7095156784972828E-4,0.007123474219251088,1.0886856046963773E-6
66,0.9615491505512966,0.0046391674339207704,0.013244570414944045,0.007729936201500003,0.001061314719572379,1.9761654545073619E-4,0.008229360126476367,1.2596371725461056E-6
67,0.9561865553983645,0.0053145176954045754,0.015225132616791901,0.008909013252914596,0.0012252137603782553,2.2839116013596736E-4,0.00950392235636472,1.4572537179968419E-6
68,0.950060108901834,0.006078637168760611,0.01748348344789898,0.010261164283300293,0.001413837421641721,2.638926393457152E-4,0.01097191829567869,1.6856448781328092E-6
69,0.9430724787260569,0.006940127170331944,0.020052631134313038,0.011809586262547833,0.001630723758961724,3.0482560063831697E-4,0.012661423272283026,1.9495375174785247E-6
70,0.9351179142758905,0.007907410826230154,0.02296755942085483,0.013579864135551898,0.0018798543321794478,3.519926702303793E-4,0.014604172289063796,2.2543631181168416E-6
71,0.9260828330853612,0.008988325294815535,0.026264652831630465,0.015599973789403507,0.002165689006799773,4.063058003246194E-4,0.01683590240382617,2.606355788347221E-6
72,0.9158469444277774,0.010189584515929575,0.029980829521462613,0.017900186478921488,0.0024931961096408294,4.687981118326066E-4,0.01939668181980611,3.0126615886718407E-6
73,0.9042850562261222,0.011516095854433809,0.034152310940766886,0.020512838582853903,0.0028678746330707354,5.406359887367434E-4,0.022331206672482333,3.4814597005044475E-6
74,0.8912697208139081,0.012970121159402815,0.038812955111236995,0.023471923536995044,0.0032957641896398694,6.231310203077873E-4,0.025689040454394244,4.022095689241191E-6
75,0.8766748715988538,0.014550285729013585,0.04399208552514029,0.026812456333978153,0.0037834372812071823,7.17751223107027E-4,0.029524764105505998,4.645226709548978E-6
76,0.8603805787236891,0.016250459131584787,0.04971176481825376,0.030569556317367116,0.00433796720644704,8.261307726698062E-4,0.033897997283853884,5.362977932656005E-6
77,0.8422789986524845,0.018058561042268488,0.05598349652412567,0.034777192914101,0.004966863673715764,9.500772338831454E-4,0.038873243745853145,6.1891087053258115E-6
78,0.8222815013733912,0.01995538332916074,0.06280439472752697,0.03946654384927027,0.005677967058082808,0.0010915750024249298,0.044519506972760775,7.139185939208957E-6
79,0.8003268227707864,0.021913564527536074,0.07015294467601584,0.0446639292492185,0.006479291463606007,0.0012527833669314797,0.050909617457984786,8.230760941633886E-6
80,0.7763899072217961,0.023896899207851617,0.07798458884541508,0.05038831117218427,0.007378806635159318,0.0014360272920970376,0.05811921214721751,9.483544308565367E-6
81,0.7504908848773296,0.02586020284910539,0.08622750838990653,0.05664838960607617,0.00838414970866573,0.0016437787388315034,0.06622531153123268,1.0919571600662403E-5
82,0.7227033919732437,0.027749968359842038,0.09477911626220874,0.0634393847863315,0.00950226026383532,0.0018786261269093196,0.075304453182015,1.2563350339493908E-5
83,0.6931612309471864,0.029506025856458624,0.10350391079673424,0.07073967125369536,0.010738936632418424,0.002143229473781346,0.08543036429550796,1.4441976466403228E-5
84,0.6620622368950587,0.031064335990580387,0.11223341992497035,0.0785075166824985,0.012098318312018854,0.0024402588923835354,0.09667119150482087,1.6585205940184574E-5
85,0.6296682339537333,0.0323608998294806,0.12076894991597742,0.08667826774877292,0.013582308792743778,0.0027723145934358128,0.10908635375214815,1.902546483256811E-5
86,0.596300188598815,0.03333656194322066,0.12888769223793375,0.09516239927398965,0.015189964836014768,0.0031418274044400477,0.12272314083282104,2.179777942600392E-5
87,0.5623281253640088,0.03394224822537629,0.13635240766607648,0.10384487912357102,0.01691689132940378,0.003550940156270946,0.13761324072583406,2.4939606830443967E-5
88,0.5281560380419245,0.034143970915816134,0.14292440430384765,0.11258627540389389,0.018754693584304035,0.004001372116112295,0.15376943414852484,2.8490546986714915E-5
89,0.49420281024796753,0.03392681999205486,0.1483789155264768,0.12122592441142029,0.020690548904211965,0.004494270897340342,0.1711827336555364,3.249191910282721E-5
90,0.4608808949537227,0.033297205153732405,0.15252138247504618,0.12958728057151261,0.022706963525061723,0.005030058777928534,0.18982025535594182,3.698619000016755E-5
91,0.4285750079228764,0.03228284298609862,0.15520271012220224,0.1374852973238258,0.024781776828993254,0.0056082828133207025,0.20962408481921707,4.2016248778096084E-5
92,0.3976232107941202,0.03093036837836006,0.15633144812523442,0.14473537937789058,0.026888460216653653,0.006227480138662528,0.23051133169030952,4.7624531591416784E-5
93,0.36830243264201584,0.02930089699156467,0.1558811380140657,0.15116316131075763,0.028996733152858483,0.0068850709721126,0.2523754649037987,5.385201173007931E-5
94,0.3408197652216841,0.02746425229869965,0.1538917480335386,0.15661417155892132,0.031073486016940988,0.007577291651863284,0.2750888957620427,6.073708270219191E-5
95,0.31530993897686405,0.025492785256558986,0.15046504700745722,0.1609623884244472,0.03308396317072022,0.008299178312516961,0.2985066493794837,6.83143743540552E-5
96,0.291838470144835,0.023455703335080222,0.14575472648666565,0.16411680841215145,0.034993126299779964,0.009044608527577727,0.3224708575769146,7.661355266657215E-5
97,0.27040926651703884,0.021414611704288933,0.13995283472454445,0.16602540853705172,0.036767093841133226,0.009806403705461143,0.3468157358607214,8.565816119414988E-5
98,0.25097510819867336,0.0194206378550396,0.1332744749707114,0.16667623775825013,0.03837454183953981,0.010576489786650321,0.3713726830459831,9.546456489961102E-5
99,0.23344939067838238,0.017513168764881043,0.12594269992309354,0.16609574312563122,0.03978795667811248,0.011346108575244708,0.3959751638306076,1.0604105468626135E-4
100,0.2177177542935728,0.015719963915275664,0.1181751755082902,0.16434475127003445,0.0409846493507513,0.012106067588209693,0.42046309299333123,1.1738716326150606E-4
101,0.2036486078661728,0.01405826053968532,0.11017363468129199,0.16151273556925477,0.04194747013606252,0.012847013215973663,0.4446865204892494,1.2949323084971576E-4
102,0.19110196883670555,0.012536456599073958,0.10211655343007406,0.1577110853400236,0.04266519611608019,0.01355971059735514,0.4685085041611616,1.4234024406568942E-4
103,0.17993640390578716,0.011156009832476565,0.09415497991379412,0.15306606690487196,0.04313259640973927,0.014235313959346978,0.49180713810094034,1.5589995466304456E-4
104,0.17001412068172947,0.009913286403862406,0.08641109987577006,0.14771205801127668,0.043350206918289134,0.0148656130291227,0.5144767712318382,1.7013526862239153E-4
105,0.16120442500512572,0.008801194970569654,0.07897893867042302,0.14178548450263428,0.04332386528576426,0.01544324407896963,0.5364284984423503,1.8500088165151422E-4
106,0.1533858354872831,0.007810529296592369,0.07192655643958824,0.13541972571355723,0.043064066992143143,0.015961857723096474,0.5575900354534554,2.0044412573048384E-4
107,0.14644716061302696,0.006931005582481772,0.06529914526062425,0.12874110789602794,0.04258520581584856,0.01641623927406271,0.577905100983942,2.1640598345358032E-4
108,0.14028781887434882,0.006152019380647475,0.05912254192859535,0.12186598734727597,0.04190475801714244,0.01680238089692109,0.5973324294043,2.32822222727643E-4
109,0.13481763850441,0.005463165978995096,0.05340679252699063,0.11489884164305167,0.04104246153532828,0.01711750770147858,0.615844527901717,2.496246036245641E-4
110,0.12995632408984784,0.004854573532636934,0.04814952185971419,0.10793123668348625,0.040019531206607506,0.017360062141437937,0.6334262777848463,2.667421113260427E-4
111,0.12563273076758882,0.004317095506054519,0.043338959662949955,0.10104151362140792,0.03885794010371569,0.017529652604915437,0.650073462794779,2.8410217346748067E-4
112,0.12178404682648464,0.0038424023045658187,0.03895655180251476,0.09429503629101203,0.03757978674028956,0.01762697292569582,0.6657912902309248,3.016318260723961E-4
113,0.11835495357892847,0.0034230040452148383,0.03497913895257579,0.0877448498106997,0.03620675880473965,0.01765369981174303,0.6805929547044482,3.192587989980919E-4
114,0.11529680703176369,0.0030522287994858392,0.03138072071535895,0.08143261895105615,0.034759696655303755,0.01761237499565441,0.6944982801737256,3.3691249880983494E-4
115,0.11256686811847377,0.002724174072938332,0.028133843868810546,0.07538973632248178,0.03325825410916552,0.017506278385159016,0.7075324639411764,3.5452487380548933E-4
116,0.11012759577280935,0.002433644002258501,0.025210663428570566,0.06963851243444832,0.03172064999846124,0.017339297746474545,0.7197249365493219,3.7203115219064837E-4
117,0.107946008689633,0.0021760807033877044,0.022583727918216,0.06419338030338151,0.030163501341674837,0.017115799589253817,0.7311083438728577,3.893704499371229E-4
118,0.10599311616528087,0.0019474952239176427,0.02022653835899596,0.05906206548596936,0.028601727538879223,0.016840505019214518,0.7417176519290563,4.0648624952637673E-4
119,0.1042434150796932,0.0017444014297794052,0.01811392600499807,0.054246687745079306,0.027048514484380684,0.0165183734436027,0.751589370744415,4.2332675454559123E-4
120,0.10267444821887645,0.0015637546900627766,0.016222288141579083,0.04974477297381666,0.025515327659128454,0.01615449619727369,0.76076089073974,4.398451279891939E-4
121,0.10126641825337006,0.001402896243095443,0.014529715236393181,0.04555016370848364,0.024011963907681188,0.01575400142958182,0.7692699232650602,4.559996241864676E-4
122,0.10000185143800214,0.0012595034944552505,0.01301603693325653,0.041653823878436226,0.02254663254720936,0.015321970968027723,0.7771540358957233,4.717536256160494E-4
123,0.0988653052369656,0.0011315461084646324,0.011662809111597115,0.03804453874357212,0.02112605756233157,0.014863369357681237,0.7844502726917302,4.870755965840771E-4
124,0.09784311444032594,0.0010172475313778209,0.01045325963497774,0.034709514631208124,0.019755593806551418,0.014382984862839468,0.7911948496582814,5.019389659417584E-4
125,0.09692317081348384,9.150514711200935E-4,0.009372206512797833,0.03163488544734738,0.01843935128470866,0.013885381901644145,0.797422915993113,5.163219508045978E-4
126,0.09609473183911164,8.235928158315206E-4,0.008405958969275826,0.028806134303976917,0.017180322681095588,0.013374864155153276,0.8031683722603477,5.30207332706242E-4
127,0.09534825462794133,7.416724745783654E-4,0.007542209289567345,0.026208439227881877,0.015980510293534842,0.01285544743796945,0.8084637373103566,5.435821968613953E-4
128,0.09467525156501728,6.682356501926585E-4,0.006769921216508167,0.023826952004928938,0.014841049418005643,0.012330841325982988,0.8133400565096988,5.564376442993647E-4
129,0.09406816470817739,6.023530942616396E-4,0.006079219022509064,0.021647018931935404,0.01376232599517192,0.01180443849650539,0.8178268446100708,5.687684856253478E-4
130,0.09352025635984752,5.432049400944513E-4,0.005461280103228031,0.019654351724331852,0.01274408698068532,0.011279310736324953,0.8219520573388283,5.805729241218532E-4
131,0.09302551359077187,4.900667562576649E-4,0.004908232964064758,0.017835156159086277,0.011785542441640354,0.010758210604422757,0.8257420865145955,5.918522348581781E-4
132,0.09257856480691973,4.422975081725891E-4,0.004413061737535765,0.016176225290678914,0.0108854588213164,0.010243577789909922,0.8292217741660795,6.026104454626008E-4
133,0.0921746067219044,3.9932915677496933E-4,0.003969517828637151,0.014665003314928999,0.010042243164226918,0.00973754927512728,0.832414441752569,6.128540232525107E-4
134,0.09180934033091964,3.6065766064865515E-4,0.0035720388944442236,0.013289625406947721,0.009254018364961562,0.009241972492951157,0.8353419311471156,6.22591572527638E-4
135,0.09147891468273212,3.2583518117097114E-4,0.0032156750892080995,0.012038938149026493,0.008518689708666378,0.008758420751467627,0.8380246545474954,6.318335450205891E-4
136,0.09117987741783105,2.944633191669252E-4,0.002896022319545347,0.010902504506320264,0.007834003118970558,0.008288210284615195,0.8404816509272829,6.405919657720568E-4
137,0.09090913118731055,2.6618723664961535E-4,0.0026091621340815843,0.009870596710479755,0.0071975956305566375,0.007832418371335323,0.8427306470326708,6.48880176056672E-4
138,0.09066389519195665,2.4069053879451996E-4,0.002351607800889945,0.008934179876831396,0.00660703866717083,0.007391902046143462,0.8447881212738196,6.567125944280073E-4
139,0.09044167118744494,2.1769080975212525E-4,0.0021202560908716783,0.008084888708861088,0.006059874739380619,0.006967316999397567,0.8466693691567679,6.641044964741507E-4
140,0.09024021339224848,1.9693571163707433E-4,0.001912344275553708,0.007314999231964481,0.005553648186435774,0.00655913633496465,0.8483885691576847,6.710718134735483E-4
141,0.09005750181216982,1.7819956940905797E-4,0.0017254118557808549,0.006617397142632769,0.00508593057879052,0.006167668915945635,0.8499588481598845,6.776309498085129E-4
142,0.08989171856136535,1.6128037571385128E-4,0.0015572665575539022,0.005985544054626766,0.004654341376881997,0.005793077085411147,0.8513923457597643,6.837986187244585E-4
143,0.08974122681605907,1.459971593782076E-4,0.0014059541584221776,0.0054134426650979785,0.004256564411482852,0.005435393598765896,0.8527002769046245,6.895916958098696E-4
144,0.08960455208530944,1.3218766940881947E-4,0.0012697317391707626,0.004895601645861218,0.0038903607144697206,0.005094537647616082,0.8538929924568702,6.950270894086355E-4
145,0.0894803655244477,1.1970633325746879E-4,0.0011470439887411583,0.004427000883103949,0.003553578188656954,0.004770329892208474,0.8549800373886827,7.001216270562516E-4
146,0.08936746905219731,1.0842245397417937E-4,0.0010365022237708286,0.00400305753803496,0.0032441585633781887,0.004462506451070842,0.855970206401916,7.048919569484601E-4
147,0.08926478206290303,9.821861584166311E-5,9.368658167295465E-4,0.003619593277012403,0.0029601420402457657,0.0041707318228899485,0.8568715968423938,7.093544633995309E-4
148,0.08917132955149315,8.898927230672601E-5,8.470257576520836E-4,0.003272802918647906,0.0026996699920914485,0.0038946107374173223,0.8576916588383178,7.135251952224209E-4
149,0.08908623149140044,8.063949361514881E-5,7.659901034837694E-4,0.0029592246637826767,0.0024609860382950786,0.0036336989497990115,0.85843724264126,7.174198059598382E-4
150,0.08900869332521089,7.308385461497353E-5,6.928710958386396E-4,0.0026757120090088677,0.0022424357820952966,0.0033875130066759276,0.8591146431869949,7.210535049096372E-4
