FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED,,,,,,,,,
24/03/2020,RE,BOG,BOG,5.84E-05,0.01,,24/03/2020,RE,BOG,UNI,0.000364623,0,,VERDADERO
24/03/2020,SU,BOG,BOG,0.99965173,0.01,,24/03/2020,SU,BOG,UNI,0.998710197,0,,FALSO
25/03/2020,ED,BOG,BOG,4.02E-09,0.01,,25/03/2020,ED,BOG,UNI,1.8448E-06,0,,VERDADERO
25/03/2020,EX,BOG,BOG,6.00E-05,0.01,,25/03/2020,EX,BOG,UNI,0.000304824,0,,VERDADERO
25/03/2020,I0,BOG,BOG,1.68E-04,0.01,,25/03/2020,I0,BOG,UNI,0.000813437,0,,VERDADERO
25/03/2020,I1,BOG,BOG,9.52E-05,0.01,,25/03/2020,I1,BOG,UNI,0.000801551,0,,VERDADERO
25/03/2020,I2,BOG,BOG,1.18E-05,0.01,,25/03/2020,I2,BOG,UNI,0.000786318,0,,VERDADERO
25/03/2020,I3,BOG,BOG,1.58E-06,0.01,,25/03/2020,I3,BOG,UNI,0.000789394,0,,VERDADERO
25/03/2020,ND,BOG,BOG,0,0.01,,25/03/2020,ND,BOG,UNI,0.000499785,0,,VERDADERO
25/03/2020,RE,BOG,BOG,7.19E-05,0.01,,25/03/2020,RE,BOG,UNI,0.000519639,0,,VERDADERO
25/03/2020,SU,BOG,BOG,0.999591738,0.01,,25/03/2020,SU,BOG,UNI,0.998355437,0,,FALSO
26/03/2020,ED,BOG,BOG,5.60E-09,0.01,,26/03/2020,ED,BOG,UNI,2.6342E-06,0,,VERDADERO
26/03/2020,EX,BOG,BOG,6.95E-05,0.01,,26/03/2020,EX,BOG,UNI,0.000418276,0,,VERDADERO
26/03/2020,I0,BOG,BOG,1.94E-04,0.01,,26/03/2020,I0,BOG,UNI,0.001114095,0,,VERDADERO
26/03/2020,I1,BOG,BOG,1.10E-04,0.01,,26/03/2020,I1,BOG,UNI,0.001103169,0,,VERDADERO
26/03/2020,I2,BOG,BOG,1.40E-05,0.01,,26/03/2020,I2,BOG,UNI,0.001087799,0,,VERDADERO
26/03/2020,I3,BOG,BOG,1.98E-06,0.01,,26/03/2020,I3,BOG,UNI,0.001092244,0,,VERDADERO
26/03/2020,ND,BOG,BOG,0,0.01,,26/03/2020,ND,BOG,UNI,0.000549729,0,,VERDADERO
26/03/2020,RE,BOG,BOG,8.76E-05,0.01,,26/03/2020,RE,BOG,UNI,0.000733849,0,,VERDADERO
26/03/2020,SU,BOG,BOG,0.999522269,0.01,,26/03/2020,SU,BOG,UNI,0.997887244,0,,FALSO
27/03/2020,ED,BOG,BOG,7.58E-09,0.01,,27/03/2020,ED,BOG,UNI,3.7265E-06,0,,VERDADERO
27/03/2020,EX,BOG,BOG,8.04E-05,0.01,,27/03/2020,EX,BOG,UNI,0.000573855,0,,VERDADERO
27/03/2020,I0,BOG,BOG,2.25E-04,0.01,,27/03/2020,I0,BOG,UNI,0.001526664,0,,VERDADERO
27/03/2020,I1,BOG,BOG,1.28E-04,0.01,,27/03/2020,I1,BOG,UNI,0.001517032,0,,VERDADERO
27/03/2020,I2,BOG,BOG,1.65E-05,0.01,,27/03/2020,I2,BOG,UNI,0.00150145,0,,VERDADERO
27/03/2020,I3,BOG,BOG,2.45E-06,0.01,,27/03/2020,I3,BOG,UNI,0.001507789,0,,VERDADERO
27/03/2020,ND,BOG,BOG,0,0.01,,27/03/2020,ND,BOG,UNI,0.00059966,0,,VERDADERO
27/03/2020,RE,BOG,BOG,1.06E-04,0.01,,27/03/2020,RE,BOG,UNI,0.001029291,0,,VERDADERO
27/03/2020,SU,BOG,BOG,0.999441826,0.01,,27/03/2020,SU,BOG,UNI,0.997263495,0,,FALSO
28/03/2020,ED,BOG,BOG,1.00E-08,0.01,,28/03/2020,ED,BOG,UNI,5.2343E-06,0,,VERDADERO
28/03/2020,EX,BOG,BOG,9.31E-05,0.01,,28/03/2020,EX,BOG,UNI,0.000787115,0,,VERDADERO
28/03/2020,I0,BOG,BOG,2.60E-04,0.01,,28/03/2020,I0,BOG,UNI,0.002092699,0,,VERDADERO
28/03/2020,I1,BOG,BOG,1.49E-04,0.01,,28/03/2020,I1,BOG,UNI,0.002084819,0,,VERDADERO
28/03/2020,I2,BOG,BOG,1.93E-05,0.01,,28/03/2020,I2,BOG,UNI,0.002068921,0,,VERDADERO
28/03/2020,I3,BOG,BOG,2.99E-06,0.01,,28/03/2020,I3,BOG,UNI,0.002077875,0,,VERDADERO
28/03/2020,ND,BOG,BOG,0,0.01,,28/03/2020,ND,BOG,UNI,0.000649575,0,,VERDADERO
28/03/2020,RE,BOG,BOG,1.27E-04,0.01,,28/03/2020,RE,BOG,UNI,0.001436193,0,,VERDADERO
28/03/2020,SU,BOG,BOG,0.999348679,0.01,,28/03/2020,SU,BOG,UNI,0.996426516,0,,FALSO
29/03/2020,ED,BOG,BOG,1.30E-08,0.01,,29/03/2020,ED,BOG,UNI,7.3121E-06,0,,VERDADERO
29/03/2020,EX,BOG,BOG,1.08E-04,0.01,,29/03/2020,EX,BOG,UNI,0.001079284,0,,VERDADERO
29/03/2020,I0,BOG,BOG,3.01E-04,0.01,,29/03/2020,I0,BOG,UNI,0.002869096,0,,VERDADERO
29/03/2020,I1,BOG,BOG,1.72E-04,0.01,,29/03/2020,I1,BOG,UNI,0.002863595,0,,VERDADERO
29/03/2020,I2,BOG,BOG,2.26E-05,0.01,,29/03/2020,I2,BOG,UNI,0.00284724,0,,VERDADERO
29/03/2020,I3,BOG,BOG,3.61E-06,0.01,,29/03/2020,I3,BOG,UNI,0.002859795,0,,VERDADERO
29/03/2020,ND,BOG,BOG,0,0.01,,29/03/2020,ND,BOG,UNI,0.000699468,0,,VERDADERO
29/03/2020,RE,BOG,BOG,1.51E-04,0.01,,29/03/2020,RE,BOG,UNI,0.001996007,0,,VERDADERO
29/03/2020,SU,BOG,BOG,0.999240824,0.01,,29/03/2020,SU,BOG,UNI,0.995297411,0,,FALSO
30/03/2020,ED,BOG,BOG,1.66E-08,0.01,,30/03/2020,ED,BOG,UNI,1.01719E-05,0,,VERDADERO
30/03/2020,EX,BOG,BOG,1.25E-04,0.01,,30/03/2020,EX,BOG,UNI,0.001479258,0,,VERDADERO
30/03/2020,I0,BOG,BOG,3.48E-04,0.01,,30/03/2020,I0,BOG,UNI,0.003933685,0,,VERDADERO
30/03/2020,I1,BOG,BOG,1.99E-04,0.01,,30/03/2020,I1,BOG,UNI,0.003931425,0,,VERDADERO
30/03/2020,I2,BOG,BOG,2.64E-05,0.01,,30/03/2020,I2,BOG,UNI,0.003914419,0,,VERDADERO
30/03/2020,I3,BOG,BOG,4.33E-06,0.01,,30/03/2020,I3,BOG,UNI,0.00393193,0,,VERDADERO
30/03/2020,ND,BOG,BOG,0,0.01,,30/03/2020,ND,BOG,UNI,0.000749333,0,,VERDADERO
30/03/2020,RE,BOG,BOG,1.80E-04,0.01,,30/03/2020,RE,BOG,UNI,0.002765552,0,,VERDADERO
30/03/2020,SU,BOG,BOG,0.999115944,0.01,,30/03/2020,SU,BOG,UNI,0.993768388,0,,FALSO
31/03/2020,ED,BOG,BOG,2.10E-08,0.01,,31/03/2020,ED,BOG,UNI,1.41039E-05,0,,VERDADERO
31/03/2020,EX,BOG,BOG,1.45E-04,0.01,,31/03/2020,EX,BOG,UNI,0.002026254,0,,VERDADERO
31/03/2020,I0,BOG,BOG,4.03E-04,0.01,,31/03/2020,I0,BOG,UNI,0.005392795,0,,VERDADERO
31/03/2020,I1,BOG,BOG,2.31E-04,0.01,,31/03/2020,I1,BOG,UNI,0.005394957,0,,VERDADERO
31/03/2020,I2,BOG,BOG,3.08E-05,0.01,,31/03/2020,I2,BOG,UNI,0.005377035,0,,VERDADERO
31/03/2020,I3,BOG,BOG,5.15E-06,0.01,,31/03/2020,I3,BOG,UNI,0.005401359,0,,VERDADERO
31/03/2020,ND,BOG,BOG,0,0.01,,31/03/2020,ND,BOG,UNI,0.000799159,0,,VERDADERO
31/03/2020,RE,BOG,BOG,2.13E-04,0.01,,31/03/2020,RE,BOG,UNI,0.003822672,0,,VERDADERO
31/03/2020,SU,BOG,BOG,0.998971355,0.01,,31/03/2020,SU,BOG,UNI,0.991692446,0,,FALSO
01/04/2020,ED,BOG,BOG,2.61E-08,0.01,,01/04/2020,ED,BOG,UNI,1.95052E-05,0,,VERDADERO
01/04/2020,EX,BOG,BOG,1.67E-04,0.01,,01/04/2020,EX,BOG,UNI,0.002773263,0,,VERDADERO
01/04/2020,I0,BOG,BOG,4.67E-04,0.01,,01/04/2020,I0,BOG,UNI,0.007391427,0,,VERDADERO
01/04/2020,I1,BOG,BOG,2.67E-04,0.01,,01/04/2020,I1,BOG,UNI,0.007399631,0,,VERDADERO
01/04/2020,I2,BOG,BOG,3.58E-05,0.01,,01/04/2020,I2,BOG,UNI,0.007380428,0,,VERDADERO
01/04/2020,I3,BOG,BOG,6.10E-06,0.01,,01/04/2020,I3,BOG,UNI,0.007414109,0,,VERDADERO
01/04/2020,ND,BOG,BOG,0,0.01,,01/04/2020,ND,BOG,UNI,0.000848935,0,,VERDADERO
01/04/2020,RE,BOG,BOG,2.51E-04,0.01,,01/04/2020,RE,BOG,UNI,0.00527393,0,,VERDADERO
01/04/2020,SU,BOG,BOG,0.998803954,0.01,,01/04/2020,SU,BOG,UNI,0.988869598,0,,FALSO
02/04/2020,ED,BOG,BOG,3.22E-08,0.01,,02/04/2020,ED,BOG,UNI,2.69193E-05,0,,VERDADERO
02/04/2020,EX,BOG,BOG,1.94E-04,0.01,,02/04/2020,EX,BOG,UNI,0.003791457,0,,VERDADERO
02/04/2020,I0,BOG,BOG,5.41E-04,0.01,,02/04/2020,I0,BOG,UNI,0.010126831,0,,VERDADERO
02/04/2020,I1,BOG,BOG,3.10E-04,0.01,,02/04/2020,I1,BOG,UNI,0.010143295,0,,VERDADERO
02/04/2020,I2,BOG,BOG,4.16E-05,0.01,,02/04/2020,I2,BOG,UNI,0.010122312,0,,VERDADERO
02/04/2020,I3,BOG,BOG,7.20E-06,0.01,,02/04/2020,I3,BOG,UNI,0.010168836,0,,VERDADERO
02/04/2020,ND,BOG,BOG,0,0.01,,02/04/2020,ND,BOG,UNI,0.000898642,0,,VERDADERO
02/04/2020,RE,BOG,BOG,2.95E-04,0.01,,02/04/2020,RE,BOG,UNI,0.007265058,0,,VERDADERO
02/04/2020,SU,BOG,BOG,0.998610152,0.01,,02/04/2020,SU,BOG,UNI,0.985028698,0,,FALSO
03/04/2020,ED,BOG,BOG,3.94E-08,0.01,,03/04/2020,ED,BOG,UNI,3.70882E-05,0,,VERDADERO
03/04/2020,EX,BOG,BOG,2.24E-04,0.01,,03/04/2020,EX,BOG,UNI,0.005175619,0,,VERDADERO
03/04/2020,I0,BOG,BOG,6.26E-04,0.01,,03/04/2020,I0,BOG,UNI,0.013866419,0,,VERDADERO
03/04/2020,I1,BOG,BOG,3.59E-04,0.01,,03/04/2020,I1,BOG,UNI,0.013894179,0,,VERDADERO
03/04/2020,I2,BOG,BOG,4.83E-05,0.01,,03/04/2020,I2,BOG,UNI,0.013870733,0,,VERDADERO
03/04/2020,I3,BOG,BOG,8.46E-06,0.01,,03/04/2020,I3,BOG,UNI,0.013934871,0,,VERDADERO
03/04/2020,ND,BOG,BOG,0,0.01,,03/04/2020,ND,BOG,UNI,0.000948257,0,,VERDADERO
03/04/2020,RE,BOG,BOG,3.47E-04,0.01,,03/04/2020,RE,BOG,UNI,0.009995067,0,,VERDADERO
03/04/2020,SU,BOG,BOG,0.998385796,0.01,,03/04/2020,SU,BOG,UNI,0.979803827,0,,FALSO
04/04/2020,ED,BOG,BOG,4.79E-08,0.01,,04/04/2020,ED,BOG,UNI,0.000051023,0,,VERDADERO
04/04/2020,EX,BOG,BOG,2.60E-04,0.01,,04/04/2020,EX,BOG,UNI,0.007050451,0,,VERDADERO
04/04/2020,I0,BOG,BOG,7.25E-04,0.01,,04/04/2020,I0,BOG,UNI,0.018971014,0,,VERDADERO
04/04/2020,I1,BOG,BOG,4.15E-04,0.01,,04/04/2020,I1,BOG,UNI,0.019014221,0,,VERDADERO
04/04/2020,I2,BOG,BOG,5.60E-05,0.01,,04/04/2020,I2,BOG,UNI,0.01898738,0,,VERDADERO
04/04/2020,I3,BOG,BOG,9.91E-06,0.01,,04/04/2020,I3,BOG,UNI,0.019075653,0,,VERDADERO
04/04/2020,ND,BOG,BOG,0,0.01,,04/04/2020,ND,BOG,UNI,0.000997747,0,,VERDADERO
04/04/2020,RE,BOG,BOG,4.06E-04,0.01,,04/04/2020,RE,BOG,UNI,0.013735204,0,,VERDADERO
04/04/2020,SU,BOG,BOG,0.998126087,0.01,,04/04/2020,SU,BOG,UNI,0.972704387,0,,FALSO
05/04/2020,ED,BOG,BOG,5.78E-08,0.01,,05/04/2020,ED,BOG,UNI,7.00987E-05,0,,VERDADERO
05/04/2020,EX,BOG,BOG,3.01E-04,0.01,,05/04/2020,EX,BOG,UNI,0.009577204,0,,VERDADERO
05/04/2020,I0,BOG,BOG,8.39E-04,0.01,,05/04/2020,I0,BOG,UNI,0.025924297,0,,VERDADERO
05/04/2020,I1,BOG,BOG,4.81E-04,0.01,,05/04/2020,I1,BOG,UNI,0.025988615,0,,VERDADERO
05/04/2020,I2,BOG,BOG,6.50E-05,0.01,,05/04/2020,I2,BOG,UNI,0.025957104,0,,VERDADERO
05/04/2020,I3,BOG,BOG,1.16E-05,0.01,,05/04/2020,I3,BOG,UNI,0.026078414,0,,VERDADERO
05/04/2020,ND,BOG,BOG,0,0.01,,05/04/2020,ND,BOG,UNI,0.001047069,0,,VERDADERO
05/04/2020,RE,BOG,BOG,4.75E-04,0.01,,05/04/2020,RE,BOG,UNI,0.018854188,0,,VERDADERO
05/04/2020,SU,BOG,BOG,0.997825477,0.01,,05/04/2020,SU,BOG,UNI,0.963078548,0,,FALSO
06/04/2020,ED,BOG,BOG,6.94E-08,0.01,,06/04/2020,ED,BOG,UNI,9.61771E-05,0,,VERDADERO
06/04/2020,EX,BOG,BOG,3.48E-04,0.01,,06/04/2020,EX,BOG,UNI,0.012959126,0,,VERDADERO
06/04/2020,I0,BOG,BOG,9.71E-04,0.01,,06/04/2020,I0,BOG,UNI,0.035368717,0,,VERDADERO
06/04/2020,I1,BOG,BOG,5.57E-04,0.01,,06/04/2020,I1,BOG,UNI,0.035461864,0,,VERDADERO
06/04/2020,I2,BOG,BOG,7.53E-05,0.01,,06/04/2020,I2,BOG,UNI,0.035423949,0,,VERDADERO
06/04/2020,I3,BOG,BOG,1.35E-05,0.01,,06/04/2020,I3,BOG,UNI,0.035590422,0,,VERDADERO
06/04/2020,ND,BOG,BOG,0,0.01,,06/04/2020,ND,BOG,UNI,0.001096165,0,,VERDADERO
06/04/2020,RE,BOG,BOG,5.54E-04,0.01,,06/04/2020,RE,BOG,UNI,0.025851402,0,,VERDADERO
06/04/2020,SU,BOG,BOG,0.997477553,0.01,,06/04/2020,SU,BOG,UNI,0.950071267,0,,FALSO
07/04/2020,ED,BOG,BOG,8.29E-08,0.01,,07/04/2020,ED,BOG,UNI,0.000131768,0,,VERDADERO
07/04/2020,EX,BOG,BOG,4.03E-04,0.01,,07/04/2020,EX,BOG,UNI,0.017442641,0,,VERDADERO
07/04/2020,I0,BOG,BOG,0.001124082,0.01,,07/04/2020,I0,BOG,UNI,0.048146687,0,,VERDADERO
07/04/2020,I1,BOG,BOG,6.45E-04,0.01,,07/04/2020,I1,BOG,UNI,0.048279143,0,,VERDADERO
07/04/2020,I2,BOG,BOG,8.73E-05,0.01,,07/04/2020,I2,BOG,UNI,0.048232468,0,,VERDADERO
07/04/2020,I3,BOG,BOG,1.58E-05,0.01,,07/04/2020,I3,BOG,UNI,0.048460572,0,,VERDADERO
07/04/2020,ND,BOG,BOG,0,0.01,,07/04/2020,ND,BOG,UNI,0.001144962,0,,VERDADERO
07/04/2020,RE,BOG,BOG,6.47E-04,0.01,,07/04/2020,RE,BOG,UNI,0.035399794,0,,VERDADERO
07/04/2020,SU,BOG,BOG,0.997074909,0.01,,07/04/2020,SU,BOG,UNI,0.932581123,0,,FALSO
08/04/2020,ED,BOG,BOG,9.87E-08,0.01,,08/04/2020,ED,BOG,UNI,0.000180228,0,,VERDADERO
08/04/2020,EX,BOG,BOG,4.66E-04,0.01,,08/04/2020,EX,BOG,UNI,0.023308405,0,,VERDADERO
08/04/2020,I0,BOG,BOG,0.001301087,0.01,,08/04/2020,I0,BOG,UNI,0.065342722,0,,VERDADERO
08/04/2020,I1,BOG,BOG,7.46E-04,0.01,,08/04/2020,I1,BOG,UNI,0.065528667,0,,VERDADERO
08/04/2020,I2,BOG,BOG,1.01E-04,0.01,,08/04/2020,I2,BOG,UNI,0.065470045,0,,VERDADERO
